json,regio
db/rvr/geojson/2e_herziening_serie1.geojson|12 gorinchem_1924,tweede herziening-1-12-1924-gorinchem
db/rvr/geojson/2e_herziening_serie1.geojson|13 hardinxveld_5e uitg_1950,tweede herziening-1-13-1950-hardinxveld
db/rvr/geojson/2e_herziening_serie1.geojson|14 sliedrecht_4e uitg_1937,tweede herziening-1-14-1937-sliedrecht
db/rvr/geojson/2e_herziening_serie1.geojson|15 dordrecht_1947,tweede herziening-1-15-1947-dordrecht
db/rvr/geojson/2e_herziening_serie1.geojson|15a alblasserdam_4e uitg_1947,tweede herziening-1-15a-1947-alblasserdam
db/rvr/geojson/2e_herziening_serie1.geojson|15b s-gravendeel_6e uitg_1947,tweede herziening-1-15b-1947-�s-gravendeel
db/rvr/geojson/2e_herziening_serie1.geojson|16 puttershoek_4e uitg_1952,tweede herziening-1-16-1952-puttershoek
db/rvr/geojson/2e_herziening_serie1.geojson|17 heinenoord_3e uitg_1954,tweede herziening-1-17-1954-heinenoord
db/rvr/geojson/2e_herziening_serie1.geojson|18 spijkenisse_3e uitg_1950,tweede herziening-1-18-1950-spijkenisse
db/rvr/geojson/2e_herziening_serie1.geojson|18a goudswaard_2e uitg_1952,tweede herziening-1-18a-1952-goudswaard
db/rvr/geojson/2e_herziening_serie1.geojson|19 hoogvliet_3e uitg_1942,tweede herziening-1-19-1942-hoogvliet
db/rvr/geojson/2e_herziening_serie1.geojson|20 zwartewaal_3e uitg_1942,tweede herziening-1-20-1942-zwartewaal
db/rvr/geojson/2e_herziening_serie1.geojson|21 brielle_3e uitg_1945,tweede herziening-1-21-1945-brielle
db/rvr/geojson/2e_herziening_serie1.geojson|22 oostvoorne_3e uitg_1945,tweede herziening-1-22-1945-oostvoorne
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|01 lobith_4e uitg_1960,tweede herziening-1-1-1960-lobith
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|02 millingen_4e uitg_1961,tweede herziening-1-2-1961-millingen
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|03 kekerdom_4e uitg_1961,tweede herziening-1-3-1960-kekerdom
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|06 dodewaard_4e uitg_1960,tweede herziening-1-6-1960-dodewaard
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|07 leeuwen_4e uitg_1961,tweede herziening-1-7-1961-leeuwen
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|08 tiel_4e uitg_1961,tweede herziening-1-8-1961-tiel
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|09 varik_4e uitg_1960,tweede herziening-1-9-1960-varik
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|10 zaltbommel_4e uitg_1960,tweede herziening-1-10-1960-zaltbommel
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|11 zuilichem_4e ged 5e uitg_1960,tweede herziening-1-11-1960-zuilichem
db/rvr/geojson/2e_herziening_serie1_uitgave.geojson|12 gorinchem_5e uitg_1959,tweede herziening-1-12-1959-gorinchem
db/rvr/geojson/2e_herziening_serie2.geojson|01 herwen_1917,tweede herziening-2-1-1917-herwen
db/rvr/geojson/2e_herziening_serie2.geojson|03 huussen_1915,tweede herziening-2-3-1915-huussen
db/rvr/geojson/2e_herziening_serie2.geojson|04 arnhem_1916,tweede herziening-2-4-1916-arnhem
db/rvr/geojson/2e_herziening_serie2.geojson|05 renkum_1917,tweede herziening-2-5-1917-renkum
db/rvr/geojson/2e_herziening_serie2.geojson|06 wageningen_4e uitg_1961,tweede herziening-2-6-1961-wageningen
db/rvr/geojson/2e_herziening_serie2.geojson|07 rhenen_1918,tweede herziening-2-7-1918-rhenen
db/rvr/geojson/2e_herziening_serie2.geojson|08 amerongen_1920,tweede herziening-2-8-1920-amerongen
db/rvr/geojson/2e_herziening_serie2.geojson|09 wijk bij duurstede_1919,tweede herziening-2-9-1919-wijk bij duurstede
db/rvr/geojson/2e_herziening_serie2.geojson|10 culenborg_1924,tweede herziening-2-10-1924-culenborg
db/rvr/geojson/2e_herziening_serie2.geojson|11 vianen_4e uitg_1961,tweede herziening-2-11-1961-vianen
db/rvr/geojson/2e_herziening_serie2.geojson|12 ameide_4e uitg_1959,tweede herziening-2-12-1959-ameide
db/rvr/geojson/2e_herziening_serie2.geojson|13 schoonhoven_4e uitg_1960,tweede herziening-2-13-1960-schoonhoven
db/rvr/geojson/2e_herziening_serie2.geojson|14 lekkerkerk_4e uitg_1961,tweede herziening-2-14-1961-lekkerkerk
db/rvr/geojson/2e_herziening_serie2.geojson|15 krimpen ad lek_4e uitg_1935,tweede herziening-2-15-1935-krimpen a/d lek
db/rvr/geojson/2e_herziening_serie2.geojson|16 stormpolder_4e uitg_1936,tweede herziening-2-16-1936-stormpolder
db/rvr/geojson/2e_herziening_serie2.geojson|17 kralingsche veer_4e uitg_1936,tweede herziening-2-17-1936-kralingsche veer
db/rvr/geojson/2e_herziening_serie2.geojson|18 rotterdam_4e uitg_1e ed_1936,tweede herziening-2-18-1936-rotterdam
db/rvr/geojson/2e_herziening_serie2.geojson|19 delfshaven_4e uitg_1936,tweede herziening-2-19-1936-delfshaven
db/rvr/geojson/2e_herziening_serie2.geojson|20 schiedam_4e uitg_1937,tweede herziening-2-20-1937-schiedam
db/rvr/geojson/2e_herziening_serie2.geojson|21 vlaardingen_1933,tweede herziening-2-21-1933-vlaardingen
db/rvr/geojson/2e_herziening_serie2.geojson|22 vergulde hand_1933,tweede herziening-2-22-1933-vergulde hand
db/rvr/geojson/2e_herziening_serie2.geojson|23 spuipolder_1933,tweede herziening-2-23-1933-spuipolder
db/rvr/geojson/2e_herziening_serie2.geojson|24 maassluis_1933,tweede herziening-2-24-1933-maassluis
db/rvr/geojson/2e_herziening_serie2.geojson|25a poortershaven_4e uitg_1936,tweede herziening-2-25-1936-poortershaven
db/rvr/geojson/2e_herziening_serie2.geojson|26 krabbepolder_3e uitg_1936,tweede herziening-2-26-1936-krabbepolder
db/rvr/geojson/2e_herziening_serie2.geojson|27 scheurpolder_3e uitg_1935,tweede herziening-2-27-1935-scheurpolder
db/rvr/geojson/2e_herziening_serie2.geojson|28b hoek v holland_3e uitg_1935,tweede herziening-2-28-1935-hoek van holland
db/rvr/geojson/2e_herziening_serie2.geojson|29 mond vd waterweg_3e uitg_1935,tweede herziening-2-29-1935-mond van den waterweg
db/rvr/geojson/2e_herziening_serie2_uitgave.geojson|07 rhenen_4e uitg_1961,tweede herziening-2-7-1961-rhenen
db/rvr/geojson/2e_herziening_serie2_uitgave.geojson|16 stormpolder_5e uitg_1954,tweede herziening-2-16-1954-stormpolder
db/rvr/geojson/2e_herziening_serie2_uitgave.geojson|18 rotterdam_4e uitg_2e ed_1936,
db/rvr/geojson/2e_herziening_serie2a.geojson|01 gouda_3e uitg_1936,tweede herziening-2a-1-1935-gouda
db/rvr/geojson/2e_herziening_serie2a.geojson|02 moordrecht_4e uitg_1952,tweede herziening-2a-2-1952-moordrecht
db/rvr/geojson/2e_herziening_serie2a.geojson|03 kortenoord_1933,tweede herziening-2a-3-1933-kortenoord
db/rvr/geojson/2e_herziening_serie2a.geojson|04 hitland_1933,tweede herziening-2a-4-1933-hitland
db/rvr/geojson/2e_herziening_serie2a.geojson|05 ouderkerk_1933,tweede herziening-2a-5-1933-ouderkerk
db/rvr/geojson/2e_herziening_serie2a.geojson|06 krimpen_1933,tweede herziening-2a-6-1933-krimpen
db/rvr/geojson/2e_herziening_serie2a.geojson|07 stormpolder_4e uitg_1933,tweede herziening-2a-7-1936-stormpolder
db/rvr/geojson/2e_herziening_serie2a_uitgave.geojson|03 kortenoord_4e uitg_1952,tweede herziening-2a-3-1952-kortenoord
db/rvr/geojson/2e_herziening_serie2a_uitgave.geojson|04 hitland_4e uitg_1952,tweede herziening-2a-4-1952-hitland
db/rvr/geojson/2e_herziening_serie2a_uitgave.geojson|05 ouderkerk_4e uitg_1952,tweede herziening-2a-5-1952-ouderkerk
db/rvr/geojson/2e_herziening_serie2a_uitgave.geojson|06 krimpen_4e uitg_1952,tweede herziening-2a-6-1952-krimpen
db/rvr/geojson/2e_herziening_serie2a_uitgave.geojson|07 stormpolder_5e uitg_1954,tweede herziening-2a-7-1954-stormpolder
db/rvr/geojson/2e_herziening_serie3.geojson|01 eijsden_1934,tweede herziening-3-1-1934-eijsden
db/rvr/geojson/2e_herziening_serie3.geojson|02 maastricht_3e uitg_1933,tweede herziening-3-2-1933-maastricht
db/rvr/geojson/2e_herziening_serie3.geojson|03 itteren_3e uitg_1933,tweede herziening-3-3-1939-itteren
db/rvr/geojson/2e_herziening_serie3.geojson|04 stein_3e uitg_1940,tweede herziening-3-4-1940-stein
db/rvr/geojson/2e_herziening_serie3.geojson|05 grevenbicht_3e uitg_1938,tweede herziening-3-5-1938-grevenbicht
db/rvr/geojson/2e_herziening_serie3.geojson|06 roosteren_3e uitg_1940,tweede herziening-3-6-1940-roosteren
db/rvr/geojson/2e_herziening_serie3.geojson|07 stevensweert_3e uitg_1951,tweede herziening-3-7-1951-stevensweert
db/rvr/geojson/2e_herziening_serie3.geojson|08 linne_3e uitg_1951,tweede herziening-3-8-1951-linne
db/rvr/geojson/2e_herziening_serie3.geojson|09 roermond_3e uitg_1956,tweede herziening-3-9-1956-roermond
db/rvr/geojson/2e_herziening_serie3.geojson|10 kessel_3e uitg_1956,tweede herziening-3-10-1956-kessel
db/rvr/geojson/2e_herziening_serie3.geojson|11 belfeld_3e uitg_1956,tweede herziening-3-11-1956-belfeld
db/rvr/geojson/2e_herziening_serie3.geojson|12 venlo_3e uitg_1957,tweede herziening-3-12-1957-venlo
db/rvr/geojson/2e_herziening_serie3.geojson|13 lottum_3e uitg_1955,tweede herziening-3-13-1955-lottum
db/rvr/geojson/2e_herziening_serie3.geojson|14 broekhuizenvorst_3e uitg_1954,tweede herziening-3-14-1954-broekhuizenvorst
db/rvr/geojson/2e_herziening_serie3.geojson|15 geijsteren_3e uitg_1953,tweede herziening-3-15-1953-geijsteren
db/rvr/geojson/2e_herziening_serie3.geojson|16 vierlingsbeek_3e uitg_1953,tweede herziening-3-16-1953-vierlingsbeek
db/rvr/geojson/2e_herziening_serie3.geojson|17 sambeek_3e uitg_1955,tweede herziening-3-17-1955-sambeek
db/rvr/geojson/2e_herziening_serie3.geojson|18 gennep_3e uitg_1952,tweede herziening-3-18-1952-gennep
db/rvr/geojson/2e_herziening_serie3.geojson|19 mook_3e uitg_1949,tweede herziening-3-19-1949-mook
db/rvr/geojson/2e_herziening_serie3.geojson|20 linden_3e uitg_1949,tweede herziening-3-20-1949-linden
db/rvr/geojson/2e_herziening_serie3.geojson|21 grave_3e uitg_1949,tweede herziening-3-21-1949-grave
db/rvr/geojson/2e_herziening_serie3.geojson|22 ravenstein_3e uitg_1950,tweede herziening-3-22-1960-ravenstein
db/rvr/geojson/2e_herziening_serie3.geojson|23 batenburg_3e uitg_1950,tweede herziening-3-23-1950-batenburg
db/rvr/geojson/2e_herziening_serie3.geojson|24 megen_3e uitg_1950,tweede herziening-3-24-1950-megen
db/rvr/geojson/2e_herziening_serie3.geojson|25 alphen_3e uitg_1950,tweede herziening-3-25-1950-alphen
db/rvr/geojson/2e_herziening_serie3.geojson|26 varik_3e uitg_1960,tweede herziening-3-26-1960-varik
db/rvr/geojson/2e_herziening_serie3.geojson|27 kerkdriel_3e uitg_1960,tweede herziening-3-27-1960-kerkdriel
db/rvr/geojson/2e_herziening_serie3.geojson|28 hedel_3e ged_4e uitg_1959,tweede herziening-3-28-1959-hedel
db/rvr/geojson/2e_herziening_serie3.geojson|29 heusden_4e uitg_1959,tweede herziening-3-29-1959-heusden
db/rvr/geojson/2e_herziening_serie3.geojson|29a poederoijen_4e uitg_1959,tweede herziening-3-29a-1959-poederoijen
db/rvr/geojson/2e_herziening_serie3.geojson|29b gorinchem_5e uitg_1959,tweede herziening-3-29b-1959-gorinchem
db/rvr/geojson/2e_herziening_serie3.geojson|29c hardinxveld_4e uitg_1950,tweede herziening-3-29c-1950-hardinxveld
db/rvr/geojson/2e_herziening_serie3.geojson|29d sliedrecht_3e uitg_1937,tweede herziening-3-29d-1937-sliedrecht
db/rvr/geojson/2e_herziening_serie3.geojson|30 heesbeen_3e uitg_1955,tweede herziening-3-30-1955-heesbeen
db/rvr/geojson/2e_herziening_serie3.geojson|31 capelle_3e uitg_1955,tweede herziening-3-31-1955-capelle
db/rvr/geojson/2e_herziening_serie3.geojson|32 raamsdonk_4e uitg_1940,tweede herziening-3-32-1940-raamsdonk
db/rvr/geojson/2e_herziening_serie3.geojson|32a nieuwendijk_3e ged_4e uitg_1938,tweede herziening-3-32a-1938-nieuwendijk
db/rvr/geojson/2e_herziening_serie3.geojson|32b s-gravenmoer_2e uitg_1954,tweede herziening-3-32b-1954-�s-gravenmoer
db/rvr/geojson/2e_herziening_serie3.geojson|33 geertruidenberg_4e uitg_1941,tweede herziening-3-33-1941-geertuidenberg
db/rvr/geojson/2e_herziening_serie3.geojson|33a kop van t-land_3e uitg_1937,tweede herziening-3-33a-1937-kop van �t land
db/rvr/geojson/2e_herziening_serie3.geojson|33b steelhoven_2e uitg_1954,tweede herziening-3-33b-1954-steelhoven
db/rvr/geojson/2e_herziening_serie3.geojson|34 hoge zwaluwe_4e uitg_1934,tweede herziening-3-34-1934-hoge zwaluwe
db/rvr/geojson/2e_herziening_serie3.geojson|35 lage zwaluwe_4e uitg_1934,tweede herziening-3-35-1934-lage zwaluwe
db/rvr/geojson/2e_herziening_serie3.geojson|36 moerdijk_4e uitg_1940,tweede herziening-3-36-1940-moerdijk
db/rvr/geojson/2e_herziening_serie3.geojson|37 noordschans_3e uitg_1940,tweede herziening-3-37-1940-noordschans
db/rvr/geojson/2e_herziening_serie3.geojson|38 willemstad_2e uitg_1959,tweede herziening-3-38-1959-willemstad
db/rvr/geojson/2e_herziening_serie3.geojson|39 dintelsas_2e uitg_1957,tweede herziening-3-39-1957-dintelsas
db/rvr/geojson/2e_herziening_serie3.geojson|40 den bommel_2e uitg_1958,tweede herziening-3-40-1958-den bommel
db/rvr/geojson/2e_herziening_serie3.geojson|41 tien gemeten_2e uitg_1950,tweede herziening-3-41-1950-tien gemeten
db/rvr/geojson/2e_herziening_serie3.geojson|42 stad aan t-haringvliet_2e uitg_1957,tweede herziening-3-42-1957-stad aan �t haringvliet
db/rvr/geojson/2e_herziening_serie3.geojson|43 middelharnis_1e uitg_1953,tweede herziening-3-43-1953-middelharnis
db/rvr/geojson/2e_herziening_serie3.geojson|44 hellevoetsluis_1e uitg_1959,tweede herziening-3-44-1959-hellevoetsluis
db/rvr/geojson/2e_herziening_serie3.geojson|45 goedereede_1e uitg_1960,tweede herziening-3-45-1960-goedereede
db/rvr/geojson/2e_herziening_serie3.geojson|46 rockanje_1e uitg_1956,tweede herziening-3-46-1958-rockanje
db/rvr/geojson/2e_herziening_serie4.geojson|01a westervoort_1925,tweede herziening-4-1-1927-westervoort (noord)
db/rvr/geojson/2e_herziening_serie4.geojson|01b westervoort_1925,tweede herziening-4-1-1927-westervoort (zuid)
db/rvr/geojson/2e_herziening_serie4.geojson|02 reden_1925,tweede herziening-4-2-1927-reden (noord)
db/rvr/geojson/2e_herziening_serie4.geojson|03 doesburg_1925,tweede herziening-4-3-1927-doesburg (noord)
db/rvr/geojson/2e_herziening_serie4.geojson|04 brummen_1925,tweede herziening-4-4-1927-brummen (oost)
db/rvr/geojson/2e_herziening_serie4.geojson|05 zutfen_1925,"tweede herziening-4-5-1927-zutfen, noord"
db/rvr/geojson/2e_herziening_serie4.geojson|06 gorsel_noord_1925,"tweede herziening-4-6-1927-gorsel, noord"
db/rvr/geojson/2e_herziening_serie4.geojson|06 gorsel_zuid_1925,"tweede herziening-4-6-1927-gorsel, zuid"
db/rvr/geojson/2e_herziening_serie4.geojson|07 deventer_oost_1927,tweede herziening-4-7-1927-deventer (oost)
db/rvr/geojson/2e_herziening_serie4.geojson|07 deventer_west_1927,tweede herziening-4-7-1927-deventer (west)
db/rvr/geojson/2e_herziening_serie4.geojson|08 olst_noord_1927,tweede herziening-4-8-1927-olst (noord)
db/rvr/geojson/2e_herziening_serie4.geojson|08 olst_zuid_1927,tweede herziening-4-8-1927-olst (zuid)
db/rvr/geojson/2e_herziening_serie4.geojson|09 wijhe_noord_1927,"tweede herziening-4-9-1927-wijhe, noord"
db/rvr/geojson/2e_herziening_serie4.geojson|09 wijhe_zuid_1927,"tweede herziening-4-9-1927-wijhe, zuid"
db/rvr/geojson/2e_herziening_serie4.geojson|10 hattem_oost_1931,"tweede herziening-4-10-1931-hattem, oost"
db/rvr/geojson/2e_herziening_serie4.geojson|10 hattem_west_1931,"tweede herziening-4-10-1931-hattem, west"
db/rvr/geojson/2e_herziening_serie4.geojson|11 zwolle_oost_1931,"tweede herziening-4-11-1931-zwolle, oost"
db/rvr/geojson/2e_herziening_serie4.geojson|11 zwolle_west_1931,"tweede herziening-4-11-1931-zwolle, west"
db/rvr/geojson/2e_herziening_serie4.geojson|12 kampen_noord_1932,tweede herziening-4-12-1932-kampen. noord
db/rvr/geojson/2e_herziening_serie4.geojson|12 kampen_zuid_1932,tweede herziening-4-12-1932-kampen. zuid
db/rvr/geojson/2e_herziening_serie4.geojson|12a ganzendiep en goot_oost_1933,tweede herziening-4-12a-1933-ganzendiep en goot. oost
db/rvr/geojson/2e_herziening_serie4.geojson|12a ganzendiep en goot_west_1933,tweede herziening-4-12a-1933-ganzendiep en goot. west
db/rvr/geojson/2e_herziening_serie4.geojson|13 keteldiep_oost_1933,tweede herziening-4-13-1933-keteldiep. (west)
db/rvr/geojson/2e_herziening_serie4.geojson|13 keteldiep_west_1933,tweede herziening-4-13-1933-keteldiep. oost
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|04 brummen_4e uitg_1961,tweede herziening-4-4-1961-brummen
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|05 zutphen_4e uitg_1961,tweede herziening-4-5-1961-zutphen
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|06 gorssel_4e uitg_1960,tweede herziening-4-6-1960-gorssel
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|11 zwolle_4e ged_3e_uitg_1950,tweede herziening-4-11-1950-zwolle
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|11a hasselt_3e uitg_1951,tweede herziening-4-11a-1951-hasselt
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|11b zwartsluis_3e ged_4e uitg_1951,tweede herziening-4-11b-1951-zwartsluis
db/rvr/geojson/2e_herziening_serie4_1950_1961.geojson|11c zwartemeer_2e ged_4e uitg_1959,tweede herziening-4-11c-1959-zwartemeer
db/rvr/geojson/vassen_serie1.geojson|13 hardinxveld_oost,vassen-herziening-1-13-1931-hardinxveld (oost)
db/rvr/geojson/vassen_serie1.geojson|13 hardinxveld_west,vassen-herziening-1-13-1931-hardinxveld (west)
db/rvr/geojson/vassen_serie1.geojson|14 sliedrecht_oost,vassen-herziening-1-14-1931-sliedrecht (oost)
db/rvr/geojson/vassen_serie1.geojson|14 sliedrecht_west,vassen-herziening-1-14-1931-sliedrecht (west)
db/rvr/geojson/vassen_serie1.geojson|15 dordrecht_oost,vassen-herziening-1-15-1931-dordrecht (oost)
db/rvr/geojson/vassen_serie1.geojson|15 dordrecht_west,vassen-herziening-1-15-1931-dordrecht (west
db/rvr/geojson/vassen_serie1.geojson|15a alblasserdam_zuid,vassen-herziening-1-15a-1931-alblasserdam zuid
db/rvr/geojson/vassen_serie1.geojson|16 puttershoek_noord_1931,vassen-herziening-1-16[a]-1931-puttershoek . noord
db/rvr/geojson/vassen_serie1.geojson|16 puttershoek_zuid_1931,vassen-herziening-1-16[b]-1931-puttershoek. zuid
db/rvr/geojson/vassen_serie2.geojson|02 pannerden_noord,vassen-herziening-2-2-1931-pannerden (noord)
db/rvr/geojson/vassen_serie2.geojson|02 pannerden_zuid,vassen-herziening-2-2-1931-pannerden (zuid)
db/rvr/geojson/vassen_serie2.geojson|11 vianen_oost,vassen-herziening-2-11-1924-vianen (oost)
db/rvr/geojson/vassen_serie2.geojson|11 vianen_west,vassen-herziening-2-11-1924-vianen (west)
db/rvr/geojson/vassen_serie2.geojson|12 ameide_oost,vassen-herziening-2-12-1924-ameide (oost)
db/rvr/geojson/vassen_serie2.geojson|12 ameide_west,vassen-herziening-2-12-1924-ameide (west)
db/rvr/geojson/vassen_serie2.geojson|13 schoonhoven_oost,vassen-herziening-2-13-1924-schoonhoven (oost)
db/rvr/geojson/vassen_serie2.geojson|13 schoonhoven_west,vassen-herziening-2-13-1924-schoonhoven (west)
db/rvr/geojson/vassen_serie2.geojson|14 lekkerkerk_oost,vassen-herziening-2-14-1921-lekkerkerk (oost)
db/rvr/geojson/vassen_serie2.geojson|14 lekkerkerk_west,vassen-herziening-2-14-1921-lekke
