json,regio
db/rvr/geojson/1e_druk_serie3.geojson|08 deventer_1841-1843,eerste druk-3-8-1843-deventer
db/rvr/geojson/1e_druk_serie3.geojson|09 olst_1842-1843,eerste druk-3-9-1843-olst
db/rvr/geojson/1e_druk_serie3.geojson|10 wijhe_1842-1843,eerste druk-3-10-1843-wijhe
db/rvr/geojson/1e_druk_serie3.geojson|11 hattem_1842-1843,eerste druk-3-11-1843-hattem
db/rvr/geojson/1e_druk_serie3.geojson|12 zwolle_1844,eerste druk-3-12-1844-zwolle
db/rvr/geojson/1e_druk_serie3.geojson|13 zalk_1843,eerste druk-3-13-1843-zalk
db/rvr/geojson/1e_druk_serie3.geojson|14 oosterwolde_1845-1846,eerste druk-3-14-1846-oosterwolde
db/rvr/geojson/1e_druk_serie3.geojson|15 kampen_1845-1846,eerste druk-3-15-1846-kampen
db/rvr/geojson/1e_druk_serie3.geojson|15a supplement_kampen,"eerste druk-3-15a-1846-supplementair blad, behoorende tot het blad no. 15, kampen"
db/rvr/geojson/1e_druk_serie3.geojson|16 lutterzijl_1846,eerste druk-3-16-1846-lutterzijl
db/rvr/geojson/1e_druk_serie3.geojson|17 mastenbroek,eerste druk-3-17-1846-mastenbroek.
db/rvr/geojson/1e_druk_serie3.geojson|18 genemuiden_1844,eerste druk-3-18-1847-genemuiden
db/rvr/geojson/1e_druk_serie3.geojson|19 zwartsluis_1844,eerste druk-3-19-1844-zwartsluis
db/rvr/geojson/1e_druk_serie3.geojson|20 hasselt_1844,eerste druk-3-20-1844-hasselt
db/rvr/geojson/1e_druk_serie3.geojson|s2 dalfsen_1843,eerste druk-3-s2-1843-dalfsen
db/rvr/geojson/1e_druk_serie4.geojson|01 canne_signal_1849,eerste druk-4-1-1849-canne (signal)
db/rvr/geojson/1e_druk_serie4.geojson|02 maastricht_1846-1847,eerste druk-4-2-1847-maastricht
db/rvr/geojson/1e_druk_serie4.geojson|03 reckheim_1847,eerste druk-4-3-1847-reckheim
db/rvr/geojson/1e_druk_serie4.geojson|04 stein_1847,eerste druk-4-4-1847-steijn
db/rvr/geojson/1e_druk_serie4.geojson|05 berg_1848,eerste druk-4-5-1848-berg
db/rvr/geojson/1e_druk_serie4.geojson|06 stockheim_1849,eerste druk-4-6-1849-stockhem
