Titel                                                                                                                                                                                                        ,Documentsoort         ,Editie,Mathematische gegevens,Uitgave                                ,Jaar van uitgave,Land van uitgave,Specificaties kaart                                                     ,Koepeltitel,Afgebeelde persoon,Auteurs,(Co)auteurs                         ,Drukker,Titelvariant,Kunstenaar,Overige betrokkenen,Drukkersgegevens,Inhoud                        ,Delen,Annotatie geografische gegevens,Annotatie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,Samenvatting,Relaties                ,Referentie,Bronvermelding,Nederlandse Basisclassificatie,Lokale classificatie       ,Geografische trefwoorden,Vormtrefwoorden,GOO trefwoorden,Periode van onderwerp,Provenance,Collectie                        ,Signatuur origineel,Gegevens digitalisering                                                                                                                                                                ,Toegangsgegevens (URL)                              ,PPN      ,EPN       ,PPN origineel,Taal,Bandbeschrijving,ggc034,ggc035,ggc036,ggc037,ggc038,ggc039,ggc040,ggc041,ggc042,ggc043,ggc044,ggc045,ggc046,ggc047,ggc048,ggc049,ggc055,ggc056,ggc057,ggc058,ggc059,ggc060                   ,zoomnr         ,Editievermelding                                                                                                                                                                              ,Stempel                                                                              ,verkend      ,gegraveerd,herzien     ,ged.herzien ,omgewerkt            ,bijgewerkt          ,uitgave,opmerkingen      ,Bladnummer,Rechten                                                                        ,UBVU-ID      ,lok008,lok009,lok010,OCLC number,Date created,Date modified,Reference URL                                                    ,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"7 Groningen, 1903"                                                                                                                                                                                          ,                      ,      ,                      ,                                       ,1903            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,7_1903         ,Verkend in 1853 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,1903                                                                                 ,1853         ,1864      ,1903        ,            ,                     ,                    ,       ,                 ,7         ,                                                                               ,0120050001037,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6553,6553            ,6605.jp2           ,/krt/image/6605.jp2
"7 Groningen, 1917"                                                                                                                                                                                          ,                      ,      ,                      ,                                       ,1917            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,7_1917         ,Verkend in 1853. Herzien tot 1905; ged. Herzien tot 1916.;; Uitgave 1917                                                                                                                      ,                                                                                     ,1853         ,          ,1905        ,1916        ,                     ,                    ,1917   ,                 ,7         ,                                                                               ,0120050001038,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6554,6554            ,6606.jp2           ,/krt/image/6606.jp2
"8 Nieuweschans, 1864"                                                                                                                                                                                       ,                      ,      ,                      ,                                       ,1864            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,8_1864         ,Verkend in 1853 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,                                                                                     ,1853         ,1864      ,            ,            ,                     ,                    ,       ,                 ,8         ,                                                                               ,0120050001039,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6555,6555            ,6607.jp2           ,/krt/image/6607.jp2
"8 Nieuweschans, 1887"                                                                                                                                                                                       ,                      ,      ,                      ,                                       ,1887            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,8_1887         ,Verkend in 1853 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,HERZIEN 1887                                                                         ,1853         ,1864      ,            ,            ,                     ,                    ,       ,                 ,8         ,                                                                               ,0120050001040,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6556,6556            ,6608.jp2           ,/krt/image/6608.jp2
"8 Nieuweschans, 1917"                                                                                                                                                                                       ,                      ,      ,                      ,                                       ,1917            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,8_1917         ,Verkend in 1853 Herzien in 1902; ged. Herzien in 1916.;; Uitgave 1917.                                                                                                                        ,                                                                                     ,1853         ,          ,1902        ,1916        ,                     ,                    ,1917   ,                 ,8         ,                                                                               ,0120050001041,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6557,6557            ,6609.jp2           ,/krt/image/6609.jp2
"9 Helder, 1863"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1863            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,9_1863         ,Verkend in 1859. Gegraveerd Top.Bureau 1863.                                                                                                                                                  ,                                                                                     ,1859         ,1863      ,            ,            ,                     ,                    ,       ,                 ,9         ,                                                                               ,0120050001042,      ,      ,      ,           ,11-3-2015   ,11-3-2015    ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6558,6558            ,6610.jp2           ,/krt/image/6610.jp2
"9 Helder, 1899"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1899            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,9_1899         ,Verkend in 1859. Gegraveerd Top.Bureau 1863.                                                                                                                                                  ,1899                                                                                 ,1859         ,1863      ,            ,            ,                     ,                    ,       ,                 ,9         ,                                                                               ,0120050001043,      ,      ,      ,           ,11-3-2015   ,11-3-2015    ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6559,6559            ,6611.jp2           ,/krt/image/6611.jp2
"9 Den Helder, 1899"                                                                                                                                                                                         ,                      ,      ,                      ,                                       ,1899            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,9_1899-2       ,Verkend in 1859. Gegraveerd Top.Bureau 1863.                                                                                                                                                  ,1899                                                                                 ,1859         ,1863      ,            ,            ,                     ,                    ,       ,                 ,9         ,                                                                               ,0120050001044,      ,      ,      ,           ,11-3-2015   ,11-3-2015    ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6560,6560            ,6612.jp2           ,/krt/image/6612.jp2
"9 Den Helder, 1920"                                                                                                                                                                                         ,                      ,      ,                      ,                                       ,1920            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,9_1920         ,Verkend in 1859. Herzien in 1877 en '78. Ged. herzien tot 1920.;; Uitgave 1920.                                                                                                               ,                                                                                     ,1859         ,          ,1877 en 1878,1920        ,                     ,                    ,1920   ,                 ,9         ,                                                                               ,0120050001045,      ,      ,      ,           ,11-3-2015   ,11-3-2015    ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6561,6561            ,6613.jp2           ,/krt/image/6613.jp2
"10 Sneek, 1864"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1864            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,10_1864        ,Verkend in 1854 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,                                                                                     ,1854         ,1864      ,            ,            ,                     ,                    ,       ,                 ,10        ,                                                                               ,0120050001046,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6562,6562            ,6614.jp2           ,/krt/image/6614.jp2
"10 Sneek, 1887"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1887            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,10_1887        ,Verkend in 1854 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,In potlood: Uitgave 1887                                                             ,1854         ,1864      ,            ,            ,                     ,                    ,       ,                 ,10        ,                                                                               ,0120050001047,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6563,6563            ,6615.jp2           ,/krt/image/6615.jp2
"10 Sneek, 1909"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1909            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,10_1909        ,Verkend in 1854. Herzien in 1903 en 1904; ged. herzien in 1908;; Uitgave 1909                                                                                                                 ,                                                                                     ,1854         ,          ,1903 en 1904,1908        ,                     ,                    ,1909   ,                 ,10        ,                                                                               ,0120050001048,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6564,6564            ,6616.jp2           ,/krt/image/6616.jp2
"11 Heerenveen, 1864"                                                                                                                                                                                        ,                      ,      ,                      ,                                       ,1864            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,11_1864        ,Verkend in 1854 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,                                                                                     ,1854         ,1864      ,            ,            ,                     ,                    ,       ,                 ,11        ,                                                                               ,0120050001049,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6565,6565            ,6617.jp2           ,/krt/image/6617.jp2
"11 Heerenveen, 1878"                                                                                                                                                                                        ,                      ,      ,                      ,                                       ,1878            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,11_1878        ,Verkend in 1854 Gegraveerd Top.Bureau 1864                                                                                                                                                    ,HERZIEN 1878                                                                         ,1854         ,1864      ,            ,            ,                     ,                    ,       ,                 ,11        ,                                                                               ,0120050001050,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6566,6566            ,6618.jp2           ,/krt/image/6618.jp2
"11 Heerenveen, 1909"                                                                                                                                                                                        ,                      ,      ,                      ,                                       ,1909            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,11_1909        ,Verkend in 1854. Herzien in 1904.;; Uitgave 1909                                                                                                                                              ,                                                                                     ,1854         ,          ,1904        ,            ,                     ,                    ,1909   ,                 ,11        ,                                                                               ,0120050001051,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6567,6567            ,6619.jp2           ,/krt/image/6619.jp2
"12 Assen, 1860"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1860            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,12_1860        ,"Verkend in 1853, Gegraveerd Top.Bureau 1860."                                                                                                                                                ,                                                                                     ,1853         ,1860      ,            ,            ,                     ,                    ,       ,                 ,12        ,                                                                               ,0120050001052,      ,      ,      ,           ,12-12-2014  ,12-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6568,6568            ,6620.jp2           ,/krt/image/6620.jp2
"12 Assen, 1879"                                                                                                                                                                                             ,                      ,      ,                      ,                                       ,1879            ,                ,                                                                        ,           ,                  ,       ,                                    ,       ,            ,          ,                   ,                ,                              ,     ,                               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,            ,                        ,          ,              ,                              ,                           ,                        ,               ,               ,                     ,          ,                                 ,                   ,                                                                                                                                                                                       ,                                                    ,         ,          ,             ,    ,                ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,                         ,12_1879        ,"Verkend in 1853, Gegraveerd Top.Bureau 1860."                                                                                                                                                ,HERZIEN 1879                                                                         ,1853         ,1860      ,            ,            ,                     ,                    ,       ,                 ,12        ,                                                                               ,0120050001053,      ,      ,      ,           ,24-12-2014  ,24-12-2014   ,http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/6569,6569            ,6621.jp2           ,/krt/image/6621.jp2
