Titel	Documentsoort	Editie	Mathematische gegevens	Uitgave	Jaar van uitgave	Land van uitgave	Specificaties kaart	Koepeltitel	Afgebeelde persoon	Auteurs	(Co)auteurs	Drukker	Titelvariant	Kunstenaar	Overige betrokkenen	Drukkersgegevens	Inhoud	Delen	Annotatie geografische gegevens	Annotatie	Samenvatting	Relaties	Referentie	Bronvermelding	Nederlandse Basisclassificatie	Lokale classificatie	Geografische trefwoorden	Vormtrefwoorden	GOO trefwoorden	Periode van onderwerp	Provenance	Collectie	Signatuur origineel	Gegevens digitalisering	Toegangsgegevens (URL)	PPN	EPN	PPN origineel	Taal	Bandbeschrijving	ggc034	ggc035	ggc036	ggc037	ggc038	ggc039	ggc040	ggc041	ggc042	ggc043	ggc044	ggc045	ggc046	ggc047	ggc048	ggc049	ggc055	ggc056	ggc057	ggc058	ggc059	ggc060	zoomnr	Editievermelding	Editievermelding op stempel	Bladnummer	Rechten	UBVU-ID	lok008	lok009	lok010	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
16 Steenwijk					1909																																																										09779_19	Verkend in 1853. Herzien in 1904.;; Uitgave 1909.		16		0106050815020					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2084	2084	2901.jp2	/krt/image/2901.jp2
17 Beilen					1914																																																										09779_20	Verkend in 1851 en 1852 Herzien tot 1900 ; ged. herzien to 1913.;; Uitgave 1914.		17		0106050815021					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2085	2085	2902.jp2	/krt/image/2902.jp2
18 Roswinkel					1917																																																										09779_21	Verkend in 1852. Herzien in 1902; ged. herzien to 1916.;; Uitgave 1917.		18		0106050815022					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2086	2086	2903.jp2	/krt/image/2903.jp2
19 Alkmaar					1915																																																										09779_22	Verkend in 1857 en 1858. Herzien tot 1895 ; ged. herzien to 1914.;; Uitgave 1915.		19		0106050815023					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2087	2087	2904.jp2	/krt/image/2904.jp2
20 Enkhuizen					1911																																																										09779_23	Verkend in 1855. Herzien in 1907 en 1911.;; Uitgave 1911.		20		0106050815024					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2088	2088	2905.jp2	/krt/image/2905.jp2
21 Zwolle					1897																																																										09779_24	Verkend in 1851 Gegraveerd Top Bureau 1859;; Omgewerkt naar de gegevens der Militaire Verkenningen van 1883-1886 en 1897.	1897.	21		0106050815025					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2089	2089	2906.jp2	/krt/image/2906.jp2
22 Coevorden					1915																																																										09779_25	Verkend 1851. Herzien tot 1903 ; ged. herzien tot 1914 .;; Uitgave 1915.		22		0106050815026					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2090	2090	2907.jp2	/krt/image/2907.jp2
23 Nw. Schoonebeek					1916																																																										09779_26	Verkend 1851. Herzien tot 1902 ; ged. herzien in 1906.;; Uitgave 1916.		23		0106050815027					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2091	2091	2908.jp2	/krt/image/2908.jp2
24 Hillegom					1917																																																										09779_27	Verkend in 1850. Herzien in 1888 en 1892 ; ged. herzien tot 1917.;; Uitgave 1917.		24		0106050815028					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2092	2092	2909.jp2	/krt/image/2909.jp2
25 Amsterdam					1913																																																										09779_28	Verkend in 1849 en 1850. Herzien tot 1892 ; ged. herzien tot 1912.;; Uitgave 1913.		25		0106050815029					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2093	2093	2910.jp2	/krt/image/2910.jp2
26 Harderwijk					1916																																																										09779_29	Verkend in 1842. Herzien tot 1910 ; ged herzien tot 1912.;; Uitgave 1916.		26		0106050815030					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2094	2094	2911.jp2	/krt/image/2911.jp2
27 Hattem					1916																																																										09779_30	Verkend in 1847. Herzien tot 1912 ; ged. herzien tot 1914.;; Uitgave 1916.		27		0106050815031					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2095	2095	2912.jp2	/krt/image/2912.jp2
28 Almelo					1917																																																										09779_31	Verkend in 1848. Herzien in 1901 en 1903; ged. herzien to 1916.;; Uitgave 1917.		28		0106050815032					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2096	2096	2913.jp2	/krt/image/2913.jp2
29 Denekamp					1916																																																										09779_32	Verkend in 1848. Herzien to 1903 ; ged. herzien tot 1916.;; Uitgave 1916.		29		0106050815033					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2097	2097	2914.jp2	/krt/image/2914.jp2
30 's Gravenhage					1914																																																										09779_33	Verkend in 1850 en 1851. Herzien in 1888 en 1899 ; ged. herzien tot 1913.;; Uitgave 1914.		30		0106050815034					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2098	2098	2915.jp2	/krt/image/2915.jp2
31 Utrecht					1901																																																										09779_34	Omgewerkt naar de gegevens der Militaire Verkenningen van 1887, 1888 en 1892 en Utrecht en omgeving v. 1900. Gegraveerd Top. Inrichting 1895.	1901	31		0106050815035					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2099	2099	2916.jp2	/krt/image/2916.jp2
32 Amersfoort					1909																																																										09779_35	Verkend in 1847 en 1848. Herzien in 1905 en 1906 ; ged. herzien tot 1909.;; Uitgave 1909.		32		0106050815036					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2100	2100	2917.jp2	/krt/image/2917.jp2
33 Zutphen					1913																																																										09779_36	Verkend in 1844.- 1846 . Herzien tot 1908 ; ged. herzien tot 1912 . Uitgave 1913.		33		0106050815037					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2101	2101	2918.jp2	/krt/image/2918.jp2
34 Groenlo					1913																																																										09779_37	Verkend in 1846. Herzien tot 1882; ged. herzien tot 1911;; Uitgave 1913		34		0106050815038					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2102	2102	2919.jp2	/krt/image/2919.jp2
35 Ahaus					1916																																																										09779_38	Verkend in 1846. Herzien in 1903 en 1904;ged. herzien tot 1916. Uitgave 1916.		35		0106050815039					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2103	2103	2920.jp2	/krt/image/2920.jp2
36 Goedreede					1888																																																										09779_39	Verkend in 1856. Gegraveerd Top.Bureau 1860.	HERZIEN 1888	36		0106050815040					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2104	2104	2921.jp2	/krt/image/2921.jp2
37 Rotterdam					1907																																																										09779_40	Verkend in 1849. en 1850. Herzien in 1899 ; ged. herzien tot 1906.;; Uitgave 1907.		37		0106050815041					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2105	2105	2922.jp2	/krt/image/2922.jp2
38 Gorinchem					1914																																																										09779_41	Verkend in 1847 en '48 .Herzien tot 1889 ;ged.herzien tot 1913.;; Uitgave 1914.		38		0106050815042					2015-08-17	2015-11-16	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2106	2106	2923.jp2	/krt/image/2923.jp2
39 Rhenen					1910																																																										09779_42	Verkend in 1846 en 1846. Herzien 1885 en 1887; ged. herzien to 1906.;; Uitgave 1910.		39		0106050815043					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2107	2107	2924.jp2	/krt/image/2924.jp2
40 Arnhem					1906																																																										09779_43	Topographisch.Bureau.1850.;; Bijgewerkt volgens de gegevens der Militaire Verkenningen van 1878-1887.;; Harde-wegen-net herzien naar de gegevens der Militaire Verkenningen van 1903	190[6]	40		0106050815044					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2108	2108	2925.jp2	/krt/image/2925.jp2
41 Aalten					1893																																																										09779_44	Verkend in 1844. Gegraveerd Top. Bureau 1852.	HERZIEN 1893	41		0106050815045					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2109	2109	2926.jp2	/krt/image/2926.jp2
42 Zierikzee					1912																																																										09779_45	Verkend in 1856 Herzien in 1902 ; Ged. herzien tot 1911.;; Uitgave 1912.		42		0106050815046					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2110	2110	2927.jp2	/krt/image/2927.jp2
43 Willemstad					1911																																																										09779_46	Verkend in 1836 en 1856. Herzien in 1899; ged. herzien tot 1910.;; Uitgave 1911.		43		0106050815047					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2111	2111	2928.jp2	/krt/image/2928.jp2
44 Geertruidenberg					1908																																																										09779_47	 Verkend in 1838 - 1839, Gegraveerd Top. Bureau 1855.  NB. Dit blad is bewerkt naar de gegevens der Militaire Verkenningen van 1889, 1893, 1905 en 1908.	1908	44		0106050815048					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2112	2112	2929.jp2	/krt/image/2929.jp2
45 's Hertogenbosch					1907																																																										09779_48	 Verkend in 1837 - 1838. Herzien Top. Bureau 1869.  Omgewerkt naar de gegevens der Militaire Verkenningen van 1887, 1895 en 1896. Gedeeltelijk herzien 1905.	1907	45		0106050815049					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2113	2113	2930.jp2	/krt/image/2930.jp2
46 Vierlingsbeek					1893																																																										09779_49	 Verkend in 1836 en 1843, Gegraveerd Top. Bureau 1856.  Bijgewerkt volgens de gegevens der Militaire Verkenningen van 1890 en 1891.	1893.	46		0106050815050					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2114	2114	2931.jp2	/krt/image/2931.jp2
47 Cadzand					1915																																																										09779_50	Verkend in 1857. Herzien in 1909.;; Uitgave 1915.		47		0106050815051					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2115	2115	2932.jp2	/krt/image/2932.jp2
48 Middelburg					1904																																																										09779_51	Verkend in 1856 Gegraveerd Top.Bureau 1864.;; Herzien in 1902.	1904	48		0106050815052					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2116	2116	2933.jp2	/krt/image/2933.jp2
49 Bergen op Zoom					1914																																																										09779_52	 Verkend in 1836 en 1856. Herzien in 1908; ged. herzien tot 1913.;;  Uitgave 1914.		49		0106050815053					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2117	2117	2934.jp2	/krt/image/2934.jp2
50 Breda					1910																																																										09779_53	Verkend in 1838 en 1839 . Herzien in 1893 en 1894; ged. herzien tot 1904.	Uitgave 1910.	50		0106050815054					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2118	2118	2935.jp2	/krt/image/2935.jp2
51 Eindhoven					1912																																																										09779_54	Verkend in 1840 Herzien tot 1898 ; ged. herzien tot 1912.;; Uitgave 1912.		51		0106050815055					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2119	2119	2936.jp2	/krt/image/2936.jp2
52 Venlo					1895																																																										09779_55	Verkend in 1837-1842, Gegraveerd Top. Bureau 1855.;;   Bijgewerkt volgens de gegevens der Militaire Verkenningen van 1890-1891 en 1892	1895	52		0106050815056					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2120	2120	2937.jp2	/krt/image/2937.jp2
53 Sluis					1916																																																										09779_56	Verkend in 1857. Herzien in 1909 emn 1910.;; Uitgave 1916.		53		0106050815057					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2121	2121	2938.jp2	/krt/image/2938.jp2
54 Neuzen					1908																																																										09779_57	Verkend in 1857, Gegraveerd Top. Bureau 1863.;;  Herzien in 1902.	1908.	54		0106050815058					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2122	2122	2939.jp2	/krt/image/2939.jp2
55 Hulst					1914																																																										09779_58	Verkend in 1856. Herzien in 1908 en 1909.;;   Ged. herzien 1913. Uitgave 1914.		55		0106050815059					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2123	2123	2940.jp2	/krt/image/2940.jp2
56 Herenthals					1914																																																										09779_59	Verkend in 1861. Herzien in 1911.;; Uitgave 1914.		56		0106050815060					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2124	2124	2941.jp2	/krt/image/2941.jp2
57 Valkenswaard					1914																																																										09779_60	Verkend in 1837 en 1842. Herzien in 1898 ; ged. herzien in 1914.;;   Uitgave 1914.		57		0106050815061					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2125	2125	2942.jp2	/krt/image/2942.jp2
58 Roermond					1895																																																										09779_61	Verkend in 1843 en 1844 Gegraveerd Top. Bureau 1859.;;   Bijgewerkt volgens de gegevens der Militaire Verkenningen van 1890 1891 en 1892.	1895	58		0106050815062					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2126	2126	2943.jp2	/krt/image/2943.jp2
59 Peer					1905																																																										09779_62	 Verkend in 1842 Gegraveerd Top. Bureau 1864.  Omgewerkt naar de gegevens der Militaire Verkenningen van 1891 en naar de Belgische topografische kaarten van 1903 tot 1905.	1905	59		0106050815063					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2127	2127	2944.jp2	/krt/image/2944.jp2
60 Sittard					1910																																																										09779_63	Verkend in 1842. Ged. herzien tot 1907.;;   Uitgave 1910.		60		0106050815064					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2128	2128	2945.jp2	/krt/image/2945.jp2
61 Maastricht					1911																																																										09779_64	Verkend in 1842 en 1843. Herzien in 1891; ged. herzien tot 1907.;; Uitgave 1911.		61		0106050815065					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2129	2129	2946.jp2	/krt/image/2946.jp2
62 Heerlen					1902																																																										09779_65	 Verkend in 1842 Gegraveerd Top. Bureau 1864.;; Omgewerkt naar de gegevens der Militaire Verkenningen van 1891 en 1901.	1902	62		0106050815066					2015-08-17	2015-08-17	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2130	2130	2947.jp2	/krt/image/2947.jp2
Topographische en militaire kaart van het Koningrijk der Nederlanden / vervaardigd door de officieren van den Generale Staf ; en gegraveerd op het Topographisch Bureau, van het Ministerie van Oorlog	Cartografisch document		1:50.000	['s-Gravenhage : Ministerie van Oorlog]	1888-1918	nl	1 kaartserie in 2 bd, gedigitaliseerd ; merendeels 53 x 83 cm, enkele 53 x 43 cm, blad 67 x 97 cm, band 69 cm				Generale Staf, Nederland;; Ministerie van Oorlog. Topographisch Bureau		TMK				De serie bestaat uit 62 bladen			Met bladwijzer op schaal 1:600.000. - 1915;; Met Verklaring van de topographische en militaire kaart van het Koninkrijk der Nederlanden. - 1910;; Bd. 1: titelblad, bladwijzer, verklaring, bladen 1 t/m 32;; Bd. 2: bladen 33 t/m 62					74.20 geografie van Nederland	80.4.210;; 81.273.3;; 81.AL	4.210 Nederland	Kaarten (vorm)				Beeldbank cartografisch materiaal	Digitaal document	Jaar: 2009;; Opdrachtgever: Amsterdam : Universiteitsbibliotheek Vrije Universiteit;; Uitvoering: Heiloo : Pictura;; Locatie origineel: NL, Universiteitsbibliotheek Vrije Universiteit, LL.09779gk: 162/od/1888;; Fysieke gegevens: tiff-bestand;; Gedigitaliseerd: juli 2009	http://imagebase.ubvu.vu.nl/getobj.php?ppn=330027255	330027255	535661401	302373934	ned																							cartografische afbeelding											2015-08-17	2016-12-07	http://cdm21033.contentdm.oclc.org/cdm/ref/collection/krt/id/2131	2131	2948.cpd	/krt/image/2948.cpd
