Nr       ,Titel                                                             ,Verk.    ,Herz.    ,Bew.     ,Uitgave  ,Editie,W.krt,"Bijkrt, w.e.","Bijkrt, h.w.",Fys. Kenm.            ,Stempels                                                                                                 ,Prov.     ,op bladindex,Signatuur ,Opm.                                                                                                                                                                            ,Kartob.,Bewaard,Ex Aardwetenschappen, ,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1964     ,         ,1966     ,3     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03515gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1971     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,Kartobibliografie stelt uitgave in 1972 -> kaart stelt 1973. achterzijde bedrukt                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,         ,         ,1973     ,4     ,     ,W             ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,          ,Breder formaat                                                                                                                                                                  ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1971     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,"AANWEZIG IN DOUBLETTEN COLLECTIE, NIET AANGEGEVEN IN VU COLLECTIE MAP!, achterzijde bedrukt"                                                                                   ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,         ,         ,1973     ,4     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,VU     ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1971     ,         ,1973     ,4     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03518gk,"AANWEZIG IN DOUBLETTEN COLLECTIE, NIET AANGEGEVEN IN VU COLLECTIE MAP!, achterzijde bedrukt"                                                                                   ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,         ,         ,1973     ,4     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,         ,         ,1973     ,4     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1981     ,1981     ,1985     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1980     ,1981     ,1984     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1981     ,1981     ,1984     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1981     ,1981     ,1985     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1980     ,1981     ,1984     ,5     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
37       ,Rotterdam-Oost                                                    ,         ,1981     ,1981     ,1984     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 1                                                       ,         ,         ,1870     ,         ,1     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03513gk,Verzuurd                                                                                                                                                                        ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 1                                                       ,         ,1881     ,1882     ,         ,2     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 1                                                       ,         ,1881     ,1882     ,         ,2     ,     ,              ,              ,                      ,Archief Rijkswaterstaat Direktie Algemene Dienst                                                         ,VU?       ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 1                                                       ,         ,1881     ,1882     ,         ,2     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,Ja          ,          ,Vouwbaar                                                                                                                                                                        ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 1                                                       ,         ,1881     ,1882     ,         ,2     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 2                                                       ,         ,         ,1870     ,         ,1     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03513gk,Verzuurd                                                                                                                                                                        ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 2                                                       ,         ,1881     ,1882     ,         ,1BIS  ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,Ja          ,LL.03513gk,Ontbrekende 2e ed. -> kartobibliografie heeft Gorinchem 2 (3e ed.) als 2e ed. genomen. Er bestaat dus een editie tussen de 2e en 3e                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 2                                                       ,         ,1881     ,1882     ,         ,1BIS  ,     ,              ,              ,Randen geplastificeerd,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03513gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 2                                                       ,         ,1920     ,         ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 2                                                       ,         ,1920     ,         ,         ,2     ,     ,              ,              ,                      ,Archief Rijkswaterstaat Direktie Algemene Dienst                                                         ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 2                                                       ,         ,1920     ,         ,         ,2     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03513gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 3                                                       ,         ,         ,1870     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,Sporen van verzuring                                                                                                                                                            ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 3                                                       ,         ,1881     ,1882     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 3                                                       ,         ,1881     ,1882     ,         ,2     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 4                                                       ,         ,         ,1870     ,         ,1     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03513gk,Verzuurd                                                                                                                                                                        ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 4                                                       ,         ,1881     ,1882     ,         ,1BIS  ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,Ja          ,LL.03513gk,Bevestiging vorige stelling                                                                                                                                                     ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 4                                                       ,         ,1881     ,1882     ,         ,1BIS  ,     ,              ,              ,                      ,Topographische Inrichting                                                                                ,VU        ,Ja          ,LL.03513gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 4                                                       ,         ,1921     ,         ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem 4                                                       ,         ,1921     ,         ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem (West)                                                  ,         ,1938     ,1941     ,         ,3     ,     ,              ,              ,                      ,Topografische dienst archief                                                                             ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem (West)                                                  ,         ,1938     ,1941     ,         ,3     ,     ,              ,              ,                      ,Kaartenverzameling Geografisch Instituut Vrije Universiteit                                              ,VU        ,Ja          ,LL.03515gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1960     ,         ,1961     ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1960     ,         ,1961     ,4     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1960     ,         ,1961     ,4     ,     ,              ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1964     ,         ,1965     ,4BIS  ,     ,              ,              ,                      ,Topografische dienst archief                                                                             ,Nugter    ,Ja          ,LL.03516gk,Kartobibliografie stelt dat bijkaart hoort bij Gorichem-West (1960-1961) -> dit is verworpen door het bestaan van deze kaart                                                    ,Nee    ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,         ,         ,1965     ,4     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1982     ,1981     ,1984     ,5     ,Ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1981     ,1981     ,1984     ,5     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1981     ,1980     ,1984     ,5     ,     ,              ,H             ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03517gk,"Groter formaat, achterzijde bedrukt"                                                                                                                                           ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1982     ,1981     ,1984     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1981     ,1981     ,1984     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-West                                                    ,         ,1981     ,1980     ,1984     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1950     ,1952     ,         ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,"Groter formaat, achterzijde bedrukt"                                                                                                                                           ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1950     ,1952     ,         ,3     ,     ,              ,              ,                      ,Archief Rijkswaterstaat Direktie Algemene Dienst                                                         ,VU        ,Ja          ,          ,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1950     ,1952     ,         ,3     ,     ,              ,              ,                      ,Kaartenverzameling Geografisch Instituut Vrije Universiteit                                              ,VU        ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1967     ,         ,1969     ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,Achterzijde bedrukt                                                                                                                                                             ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,         ,         ,1969     ,4     ,     ,W             ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,            ,          ,"Niet aanwezig volgens bladindex, wel 2 maal in VU collectie"                                                                                                                   ,       ,kan weg,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1967     ,         ,1969     ,4     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03515gk,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem-Oost                                                    ,         ,1967     ,         ,1969     ,4     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU KB-03  ,            ,          ,Achterzijde bedrukt                                                                                                                                                             ,       ,kan weg,                    , ,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,         ,         ,1969     ,4     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03516gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,         ,         ,1969     ,4     ,     ,W             ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03516gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1981     ,1981     ,1985     ,5     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,          ,Sticker gebruikt i.p.v. stempel                                                                                                                                                 ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1981     ,1981     ,1985     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1981     ,1981     ,1984     ,5     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,Nugter    ,Ja          ,LL.03517gk,Sticker gebruikt i.p.v. stempel                                                                                                                                                 ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1981     ,1981     ,1985     ,5     ,Ja   ,              ,              ,                      ,Topografische dienst bibliotheek                                                                         ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1981     ,1981     ,1985     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,VU     ,                    ,0,                                            ,,,,,,,,,,,,,,,
38       ,Gorinchem Oost                                                    ,         ,1981     ,1981     ,1984     ,5     ,     ,              ,H             ,                      ,Topografische dienst bibliotheek                                                                         ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 1                                                          ,         ,         ,1871     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 1                                                          ,         ,1894     ,1897     ,         ,1BIS  ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,BIS-editie                                                                                                                                                                      ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 1                                                          ,         ,1930     ,1934     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 1                                                          ,         ,1930     ,1934     ,         ,2     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03513gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 2                                                          ,         ,1879     ,1881     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,Wellicht ontbreekt hier een 1871 editie van Rhenen 2                                                                                                                            ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 2                                                          ,         ,1930     ,1934     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 2                                                          ,         ,1930     ,1934     ,         ,2     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 3                                                          ,         ,         ,1871     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,Sporen van verzuring                                                                                                                                                            ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 3                                                          ,         ,1895     ,1898     ,         ,1BIS  ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,BIS-editie                                                                                                                                                                      ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 3                                                          ,         ,1930     ,1934     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 3                                                          ,         ,1930     ,1934     ,         ,2     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,          ,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
39       ,Rhenen 4                                                          ,         ,         ,1871     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
