Nr       ,Titel                                                             ,Verk.    ,Herz.    ,Bew.     ,Uitgave  ,Editie,W.krt,"Bijkrt, w.e.","Bijkrt, h.w.",Fys. Kenm.            ,Stempels                                                                                                 ,Prov.     ,op bladindex,Signatuur ,Opm.                                                                                                                                                                            ,Kartob.,Bewaard,Ex Aardwetenschappen, ,                                            ,,,,,,,,,,,,,,,
01-05    ,Terschelling                                                      ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03514gk,in kartobibliogrfaie blad 1/5                                                                                                                                                   ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling                                                      ,         ,1946     ,1947     ,         ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03515gk,Bewerking: Alg. Dienst Rijkswaterstaat.Reproductie: Topografische Dienst                                                                                                        ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling-West                                                 ,         ,1971     ,         ,1971     ,5     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,2 ex                ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling-West                                                 ,         ,         ,         ,1971     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,2 ex                ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling-West                                                 ,         ,1971     ,         ,1971     ,5     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,          ,Ja          ,LL.03517gk,niet aangetroffen                                                                                                                                                               ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling-Oost                                                 ,         ,1972     ,         ,1972     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,2 ex                ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling-Oost                                                 ,         ,         ,         ,1972     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,2 ex                ,0,                                            ,,,,,,,,,,,,,,,
1        ,Terschelling-Oost                                                 ,         ,1972     ,         ,1972     ,5     ,ja   ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,Ja          ,LL.03518gk,niet aangetroffen                                                                                                                                                               ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog 1                                                 ,         ,         ,1873     ,         ,1     ,     ,              ,              ,Op linnen             ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,Schiermonnikoog bestaat uit halfbladen i.p.v. kwartbladen                                                                                                                       ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog 1                                                 ,         ,1915     ,1916     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog 2                                                 ,         ,         ,1873     ,         ,1     ,     ,              ,              ,                      ,Topographische Inrichting                                                                                ,Nugter    ,            ,LL.03513gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog 2                                                 ,         ,1916     ,1917     ,         ,2     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03514gk,Linkerrand boven beschadigd                                                                                                                                                     ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog (West)                                            ,         ,1941     ,         ,         ,3     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,            ,LL.03515gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-West                                              ,         ,1964     ,         ,1965     ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-West                                              ,         ,1972     ,         ,1972     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-West                                              ,         ,         ,         ,1972     ,5     ,     ,              ,H             ,                      ,                                                                                                         ,VU        ,Ja          ,LL.03517gk,Volgens bladindex bevat VU collectie bevat +W                                                                                                                                   ,       ,VU     ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-West                                              ,         ,1972     ,         ,1972     ,5     ,     ,              ,              ,                      ,Bibliotheek Vrije Universiteit Kaartenzaal                                                               ,VU        ,            ,LL.03518gk,                                                                                                                                                                                ,       ,kan weg,                    ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog Oost                                              ,         ,1946     ,         ,         ,3     ,     ,              ,              ,                      ,Waterstaats kartografie Archief                                                                          ,Nugter    ,            ,LL.03515gk,Reproductie fa P.J. Mulder                                                                                                                                                      ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-Oost                                              ,         ,1964     ,         ,1965     ,4     ,     ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03516gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-Oost                                              ,         ,1973     ,         ,1974     ,5     ,Ja   ,              ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,1 ex                ,0,                                            ,,,,,,,,,,,,,,,
2        ,Schiermonnikoog-Oost                                              ,         ,         ,         ,1974     ,5     ,     ,W             ,              ,                      ,                                                                                                         ,Nugter    ,Ja          ,LL.03517gk,                                                                                                                                                                                ,       ,Nugter ,                    ,0,                                            ,,,,,,,,,,,,,,,
