editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,14,MEDEMBLIK 4,Min. v. Oorl. Top. Bur.,,1867,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/14 Medemblik-4.jpg
1,15,STAVOREN 1,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/15 Stavoren-1.jpg
1,15,STAVOREN 2,Top. Bur.,,1873,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/15 Stavoren-2.jpg
1,15,STAVOREN 3,Min. v. Oorl. Top. Bur.,,1867,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/15 Stavoren-3.jpg
1,16,STEENWIJK 1,Top. Inrigting,,1877,1875,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/16 Steenwijk-1.jpg
1,16,STEENWIJK 2,Top. Inrigting,,1877,1875,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/16 Steenwijk-2.jpg
1,16,STEENWIJK 3,Top. Inrigting,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/16 Steenwijk-3.jpg
1,16,STEENWIJK 4,Top. Inrigting,,1883,1881,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/16 Steenwijk-4.jpg
1,17,BEILEN 1,Top. Inrichting,,1886,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/17 Beilen-1.jpg
1,17,BEILEN 2,Top. Inrichting,,1885,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/17 Beilen-2.jpg
1,17,BEILEN 3,Top. Inrichting,,1886,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/17 Beilen-3.jpg
1,17,BEILEN 4,Top. Inrichting,,1886,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/17 Beilen-4.jpg
1,18,ROSWINKEL 1,Top. Inrichting,,1887,1886,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/18 Roswinkel-1.jpg
1,18,ROSWINKEL 2,Top. Inrichting,,1885,1884,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/18 Roswinkel-2.jpg
1,19,ALKMAAR 2,Min. v. Oorl. Top. Bur.,,1866,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/19 Alkmaar-2.jpg
1,19,ALKMAAR 3,Min. v. Oorl. Top. Bur.,,1866,,,,,,,Schaal van 10000 Ellen,,,,,,,eerste_editie/19 Alkmaar-3.jpg
1,19,ALKMAAR 4,Min. v. Oorl. Top. Bur.,,1866,,,,,,,"Schaal van 10,000 Ellen",,,,,,,eerste_editie/19 Alkmaar-4.jpg
